Datetime,ID
18/05/2018,150.5
17/05/2018,151
16/05/2018,151.25
15/05/2018,152
14/05/2018,153.5
13/05/2018,153.5
12/05/2018,153.5
11/05/2018,154.85
10/05/2018,155.2
09/05/2018,155.55
08/05/2018,155.75
07/05/2018,155.5
06/05/2018,155.5
05/05/2018,155.5
04/05/2018,155.5
03/05/2018,155.5
02/05/2018,155
01/05/2018,155
30/04/2018,157.9
29/04/2018,157.9
28/04/2018,157.9
27/04/2018,154.4
26/04/2018,153.8
25/04/2018,153.8
24/04/2018,153.8
23/04/2018,153
22/04/2018,153
21/04/2018,153
20/04/2018,152.1
19/04/2018,150.8
18/04/2018,150
17/04/2018,150
16/04/2018,149.55
15/04/2018,149.55
14/04/2018,149.55
13/04/2018,149.5
12/04/2018,149
11/04/2018,148.55
10/04/2018,148.55
09/04/2018,148.55
08/04/2018,148.55
07/04/2018,148.55
06/04/2018,148.9
05/04/2018,148.7
04/04/2018,148.6
03/04/2018,148.45
02/04/2018,148.1
01/04/2018,148.1
31/03/2018,148.1
30/03/2018,148.75
29/03/2018,148.75
28/03/2018,148.85
27/03/2018,149
26/03/2018,148.9
25/03/2018,148.9
24/03/2018,148.9
23/03/2018,149
22/03/2018,148
21/03/2018,149.2
20/03/2018,150.5
19/03/2018,150.75
18/03/2018,150.75
17/03/2018,150.75
16/03/2018,150.5
15/03/2018,151
14/03/2018,150.85
13/03/2018,151.4
12/03/2018,151.65
11/03/2018,151.65
10/03/2018,151.65
09/03/2018,151.55
08/03/2018,151
07/03/2018,150.55
06/03/2018,150.5
05/03/2018,150.25
04/03/2018,150.25
03/03/2018,150.25
02/03/2018,150.5
01/03/2018,150.2
28/02/2018,148.55
27/02/2018,151
26/02/2018,150
25/02/2018,150
24/02/2018,150
23/02/2018,149
22/02/2018,148.55
21/02/2018,148.5
20/02/2018,149.95
19/02/2018,150.8
18/02/2018,150.8
17/02/2018,150.8
16/02/2018,147.05
15/02/2018,146.25
14/02/2018,146
13/02/2018,146.55
12/02/2018,146
11/02/2018,146
10/02/2018,146
09/02/2018,146
08/02/2018,145.15
07/02/2018,145
06/02/2018,146.5
05/02/2018,148
04/02/2018,148
03/02/2018,148
02/02/2018,149.5
01/02/2018,149.9
31/01/2018,147.7
30/01/2018,147.7
29/01/2018,147.5
28/01/2018,147.5
27/01/2018,147.5
26/01/2018,147.1
25/01/2018,147.3
24/01/2018,147.55
23/01/2018,147.8
22/01/2018,147.95
21/01/2018,147.95
20/01/2018,147.95
19/01/2018,148.4
18/01/2018,148.05
17/01/2018,149
16/01/2018,150
15/01/2018,144
14/01/2018,144
13/01/2018,144
12/01/2018,140
11/01/2018,140
10/01/2018,140
09/01/2018,140
08/01/2018,140.25
07/01/2018,140.25
06/01/2018,140.25
05/01/2018,140.5
04/01/2018,140
03/01/2018,138.05
02/01/2018,136.85
01/01/2018,136.85
31/12/2017,136.85
30/12/2017,0
29/12/2017,134
28/12/2017,137.5
27/12/2017,136
26/12/2017,135.9
25/12/2017,135.85
24/12/2017,135.85
23/12/2017,135.85
22/12/2017,135.85
21/12/2017,135.75
20/12/2017,136
19/12/2017,135.85
18/12/2017,135.85
17/12/2017,135.85
16/12/2017,135.85
15/12/2017,137
14/12/2017,137.9
13/12/2017,137.9
12/12/2017,137
11/12/2017,135.9
10/12/2017,135.9
09/12/2017,135.9
08/12/2017,136.05
07/12/2017,136.2
06/12/2017,136
05/12/2017,137.55
04/12/2017,137
03/12/2017,137
02/12/2017,137
01/12/2017,0
30/11/2017,137.3
29/11/2017,138.65
28/11/2017,138.7
27/11/2017,138.65
26/11/2017,138.65
25/11/2017,138.65
24/11/2017,138.75
23/11/2017,138.45
22/11/2017,138.7
21/11/2017,138.4
20/11/2017,139.15
19/11/2017,139.15
18/11/2017,139.15
17/11/2017,139.5
16/11/2017,140
15/11/2017,141.2
14/11/2017,141.5
13/11/2017,142
12/11/2017,142
11/11/2017,142
10/11/2017,139.9
09/11/2017,138
08/11/2017,137.3
07/11/2017,136.8
06/11/2017,136.8
05/11/2017,136.8
04/11/2017,0
03/11/2017,136.95
02/11/2017,136.2
01/11/2017,136.3
31/10/2017,135.3
30/10/2017,135.55
29/10/2017,135.55
28/10/2017,135.55
27/10/2017,135.7
26/10/2017,135.9
25/10/2017,135.9
24/10/2017,135.95
23/10/2017,136
22/10/2017,136
21/10/2017,136
20/10/2017,135.8
19/10/2017,136.95
18/10/2017,137.15
17/10/2017,137
16/10/2017,137
15/10/2017,137
14/10/2017,137
13/10/2017,137.7
12/10/2017,137.5
11/10/2017,137.7
10/10/2017,137.5
09/10/2017,137.5
08/10/2017,137.5
07/10/2017,137.5
06/10/2017,137.15
05/10/2017,137.5
04/10/2017,138.6
03/10/2017,138
02/10/2017,137.15
01/10/2017,137.15
30/09/2017,137.15
29/09/2017,137.1
28/09/2017,137.6
27/09/2017,137.9
26/09/2017,138
25/09/2017,137.95
24/09/2017,137.95
23/09/2017,137.95
22/09/2017,0
21/09/2017,138.2
20/09/2017,138.2
19/09/2017,138.85
18/09/2017,139.2
17/09/2017,139.2
16/09/2017,139.2
15/09/2017,139.7
14/09/2017,140
13/09/2017,139.9
12/09/2017,138.2
11/09/2017,137.85
10/09/2017,137.85
09/09/2017,137.85
08/09/2017,137.65
07/09/2017,137.7
06/09/2017,137.4
05/09/2017,137.3
04/09/2017,137.5
03/09/2017,137.5
02/09/2017,137.5
01/09/2017,0
31/08/2017,137.75
30/08/2017,137.5
29/08/2017,137.75
28/08/2017,137.8
27/08/2017,137.8
26/08/2017,137.8
25/08/2017,137
24/08/2017,136.6
23/08/2017,136.25
22/08/2017,136.1
21/08/2017,136.1
20/08/2017,136.1
19/08/2017,0
18/08/2017,136.5
17/08/2017,135.75
16/08/2017,135.75
15/08/2017,135.95
14/08/2017,135.95
13/08/2017,135.95
12/08/2017,0
11/08/2017,137
10/08/2017,137
09/08/2017,137
